INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('e17ddb66-626d-45c6-9391-72a15db563fd','Importaciones Carmona, S.L.','B85894189','Av. de París, 4','Valencia','info@importacionescarmona.com','+34602673928',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('f661725c-f360-4c8d-8a49-652e10f5372d','Logística Aguilar, S.L.','B01137147','Av. de América, 4','Badajoz','info@logisticaaguilar.com','+34647505890',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('8a5286dc-eba0-45cc-a61d-a60a3f325253','Suministros Ramos, S.L.','B15942546','Las Margaritas, 2','Salamanca','info@suministrosramos.com','+34663353961',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('cf26a21d-2029-4543-80d1-dc80ee62be89','Importaciones Marín, S.L.','B48420035','Av. de la Hispanidad, 4','Bilbao','info@importacionesmarin.com','+34626853486',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('6c1d43cf-5d30-468c-9544-356105b39cce','Repuestos Cortes, S.L.','B02440883','Gran Vía, 6','Teruel','info@repuestoscortes.com','+34656632834',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('a551bf89-e64d-4fdc-bab6-e06f3a7fdd54','Repuestos Bravo, S.L.','B76809033','Av. de la Hispanidad, 3','Valencia','info@repuestosbravo.com','+34639166360',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('611577b5-e4b8-4364-89d3-c22b9b664ebe','Suministros Cabrera, S.L.','B00704397','Las Margaritas, 9','Barcelona','info@suministroscabrera.com','+34662610165',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('5ebb72ac-6b2d-4ed5-be42-09e5710d972f','Transportes Mora, S.L.','B87644840','Av. de París, 6','Albacete','info@transportesmora.com','+34601257930',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('e393cbda-74c3-47d7-8058-b6450f3c9dd6','Repuestos Santana, S.L.','B46420327','Av. de la Constitución, 5','Cáceres','info@repuestossantana.com','+34612710810',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('a12583a2-853e-4f71-9b00-2d273a1afa07','Logística Torres, S.L.','B56117200','Clara Campoamor, 9','Madrid','info@logisticatorres.com','+34625348908',CURDATE());
INSERT INTO proveedores (id, nombre, cif, direccion, localidad, email, telefono, fecha_alta) VALUES('4cf65252-e5d4-4a05-b284-5fbdc7fd1a94','Exportaciones Ortega, S.L.','B84623925','Av. de la Hispanidad, 8','Cáceres','info@exportacionesortega.com','+34604999812',CURDATE());
